url,case_number,court_name,date,amount,motor_vehicle,cases_incidents
https://www.wokewindows.org/cases/superior-1584CV01021,1584CV01021,Superior Court,2015-11-25,1101.0,,"{:url=>""https://www.wokewindows.org/incidents/142052185"", :incident_number=>""142052185""}"
https://www.wokewindows.org/cases/superior-1584CV00636,1584CV00636,Superior Court,2015-11-18,1236.0,,"{:url=>""https://www.wokewindows.org/incidents/142049977"", :incident_number=>""142049977""}"
https://www.wokewindows.org/cases/superior-1584CV00926,1584CV00926,Superior Court,2015-10-17,1037.0,,"{:url=>""https://www.wokewindows.org/incidents/142040089"", :incident_number=>""142040089""}"
https://www.wokewindows.org/cases/superior-1584CV03186,1584CV03186,Superior Court,2015-10-04,12440.0,,"{:url=>""https://www.wokewindows.org/incidents/152082594"", :incident_number=>""152082594""}"
https://www.wokewindows.org/cases/superior-1584CV03067,1584CV03067,Superior Court,2015-09-10,3020.0,,"{:url=>""https://www.wokewindows.org/incidents/152075326"", :incident_number=>""152075326""}"
https://www.wokewindows.org/cases/superior-1584CV02931,1584CV02931,Superior Court,2015-09-08,477.0,,"{:url=>""https://www.wokewindows.org/incidents/152074725"", :incident_number=>""152074725""}"
https://www.wokewindows.org/cases/superior-1584CV03005,1584CV03005,Superior Court,2015-09-03,620.0,,""
https://www.wokewindows.org/cases/superior-1584CV02959,1584CV02959,Superior Court,2015-09-03,647.0,2000 Nissan Maxima,"{:url=>""https://www.wokewindows.org/incidents/152073216"", :incident_number=>""152073216""}"
https://www.wokewindows.org/cases/superior-1584CV03157,1584CV03157,Superior Court,2015-09-02,1520.0,,"{:url=>""https://www.wokewindows.org/incidents/152072946"", :incident_number=>""152072946""}"
https://www.wokewindows.org/cases/superior-1584CV03037,1584CV03037,Superior Court,2015-08-28,1630.0,,"{:url=>""https://www.wokewindows.org/incidents/152071357"", :incident_number=>""152071357""}; {:url=>""https://www.wokewindows.org/incidents/152071426"", :incident_number=>""152071426""}"
https://www.wokewindows.org/cases/superior-1584CV03066,1584CV03066,Superior Court,2015-08-26,1265.0,,"{:url=>""https://www.wokewindows.org/incidents/152070800"", :incident_number=>""152070800""}; {:url=>""https://www.wokewindows.org/incidents/152070807"", :incident_number=>""152070807""}"
https://www.wokewindows.org/cases/superior-1584CV02746,1584CV02746,Superior Court,2015-08-25,188885.0,,"{:url=>""https://www.wokewindows.org/incidents/152070376"", :incident_number=>""152070376""}; {:url=>""https://www.wokewindows.org/incidents/152070415"", :incident_number=>""152070415""}"
https://www.wokewindows.org/cases/superior-1584CV03016,1584CV03016,Superior Court,2015-08-20,4635.0,,"{:url=>""https://www.wokewindows.org/incidents/152069151"", :incident_number=>""152069151""}"
