url,incident_number,links,occurred_on_date,district,district_name,shooting,location_of_occurrence,street,nature_of_incident,officer_journal_name,offenses,incident_clearance,number_of_arrestees,number_of_victims,number_of_offenders
https://www.wokewindows.org/incidents/212004455,212004455,false,2021-01-21 12:19:00,,,,27 DISTRICT AVE,,AUTO THEFT,102191  MADELINE BANKS,"",,,,
https://www.wokewindows.org/incidents/212004444,212004444,false,2021-01-21 10:57:00,,,,579 POPLAR ST,,INVESTIGATE PROPERTY,096684  ISMAEL SOSA,"",,,,
https://www.wokewindows.org/incidents/212004436,212004436,false,2021-01-21 10:47:00,,,,205 HAMILTON ST,,VANDALISM,,"",,,,
https://www.wokewindows.org/incidents/212004429,212004429,false,2021-01-21 10:44:00,,,,17 GORDON ST,,LARCENY PURSE SNATCH - NO FORCE,012119  ANGEL FIGUEROA,"",,,,
https://www.wokewindows.org/incidents/212004432,212004432,false,2021-01-21 10:30:00,,,,14 DEER ST,,MISSING PERSON,,"",,,,
https://www.wokewindows.org/incidents/212004427,212004427,false,2021-01-21 10:26:00,,,,989 COMMONWEALTH AVE,,OBSCENE MATERIALS - PORNOGRAPHY,105590  SETH HOUSMAN,"",,,,
https://www.wokewindows.org/incidents/212004440,212004440,false,2021-01-21 10:26:00,,,,211 WILLOW ST,,M/V ACCIDENT - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004442,212004442,false,2021-01-21 10:16:00,,,,29 KING ST,,SICK ASSIST,126471  DEREK KELLEY,"",,,,
https://www.wokewindows.org/incidents/212004437,212004437,false,2021-01-21 09:53:00,,,,211 W NINTH ST,,LANDLORD - TENANT,,"",,,,
https://www.wokewindows.org/incidents/212004424,212004424,false,2021-01-21 09:47:00,,,,38-50 TALBOT AVE,,INVESTIGATE PROPERTY,"153083  BRIAN, F HARRINGTON","",,,,
https://www.wokewindows.org/incidents/212004421,212004421,false,2021-01-21 08:46:00,,,,198 STRATHMORE RD,,TOWED MOTOR VEHICLE,153151  MATTHEW GAFFEY,"",,,,
https://www.wokewindows.org/incidents/212004418,212004418,false,2021-01-21 08:41:00,,,,30 PEARL ST,,TOWED MOTOR VEHICLE,009568  VINCENT DIFAZIO,"",,,,
https://www.wokewindows.org/incidents/212004420,212004420,false,2021-01-21 08:27:00,,,,61 EXETER ST,,LARCENY THEFT FROM BUILDING,053071  DANIEL MCMORROW,"",,,,
https://www.wokewindows.org/incidents/212004416,212004416,false,2021-01-21 08:27:00,,,,30 PLEASANT ST,,ASSAULT - SIMPLE,,"",,,,
https://www.wokewindows.org/incidents/212004412,212004412,false,2021-01-21 08:15:00,,,,"",,M/V ACCIDENT - PROPERTY DAMAGE,148289  SEAN P. O'BRIEN,"",,,,
https://www.wokewindows.org/incidents/212004410,212004410,false,2021-01-21 08:07:00,,,,"",,M/V ACCIDENT - PERSONAL INJURY,,"",,,,
https://www.wokewindows.org/incidents/212004407,212004407,false,2021-01-21 07:59:00,,,,"",,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004417,212004417,false,2021-01-21 07:58:00,,,,4 UNITY WAY,,FIRE REPORT,102290  BRIAN MICHAUD,"",,,,
https://www.wokewindows.org/incidents/212004428,212004428,false,2021-01-21 07:56:00,,,,27 CHESTNUT ST,,TOWED MOTOR VEHICLE,148311  MICHAEL WALTON,"",,,,
https://www.wokewindows.org/incidents/212004415,212004415,false,2021-01-21 07:50:00,,,,237-239 CAMBRIDGE ST,,M/V ACCIDENT - OTHER,010513  ROGER BURKE,"",,,,
https://www.wokewindows.org/incidents/212004414,212004414,false,2021-01-21 07:21:00,,,,71 CHARLES ST,,VANDALISM,148311  MICHAEL WALTON,"",,,,
https://www.wokewindows.org/incidents/212004405,212004405,false,2021-01-21 06:40:00,,,,1358 BOYLSTON ST,,M/V ACCIDENT - PROPERTY DAMAGE,144469  NIXON NAZAIRE,"",,,,
https://www.wokewindows.org/incidents/212004402,212004402,false,2021-01-21 06:35:00,,,,100 CLAYBOURNE ST,,INVESTIGATE PROPERTY,128227  JAMES HOSEA,"",,,,
https://www.wokewindows.org/incidents/212004403,212004403,false,2021-01-21 06:20:00,,,,45 HARVARD ST,,INVESTIGATE PROPERTY,126552  RICHARD TRULL,"",,,,
https://www.wokewindows.org/incidents/212004400,212004400,false,2021-01-21 04:46:00,,,,199 H ST,,SICK/INJURED/MEDICAL - PERSON,148246  JOANNE BYRNE,"",,,,
https://www.wokewindows.org/incidents/212004398,212004398,false,2021-01-21 02:59:00,,,,19 EDINBORO ST,,LARCENY ALL OTHERS,153084  GERARD M GIBLIN,"",,,,
https://www.wokewindows.org/incidents/212004391,212004391,false,2021-01-21 01:30:00,,,,40 SUDBURY ST,,SICK ASSIST,011365  HIEN TRUONG,"",,,,
https://www.wokewindows.org/incidents/212004392,212004392,false,2021-01-21 01:27:00,,,,"",,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),144428  JOHN BEAUCHEMIN,"",,,,
https://www.wokewindows.org/incidents/212004390,212004390,false,2021-01-21 01:15:00,,,,174 W CANTON ST,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PARTY WITH ARREST,099716  FRANK CHIOLA,"",,,,
https://www.wokewindows.org/incidents/212004393,212004393,false,2021-01-21 01:15:00,,,,111 NONANTUM ST,,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004394,212004394,false,2021-01-21 01:11:00,,,,125 HIGH ST,,INVESTIGATE PERSON,,"",,,,
https://www.wokewindows.org/incidents/212004387,212004387,false,2021-01-21 01:10:00,,,,65 VON HILLERN ST,,PROSTITUTION,148301  DANIEL SHEEHAN,"",,,,
https://www.wokewindows.org/incidents/212004395,212004395,false,2021-01-21 01:00:00,,,,10 NEW ST,,M/V - LEAVING SCENE - PROPERTY DAMAGE,010162  PAUL DOWNEY,"",,,,
https://www.wokewindows.org/incidents/212004389,212004389,false,2021-01-21 00:55:00,,,,19 SAINT MARGARET ST,,VANDALISM,053244  BRIAN PERRY,"",,,,
