"allegation","frequency","percentage"
"Neglect of Duty/Unreasonable Judgment",2406,22.80
"Respectful Treatment",2341,22.18
"Use of Force",1217,11.53
"Conduct Unbecoming",791,7.50
"Conformance to Laws",352,3.34
"Self-identification",304,2.88
"Violation of Criminal Law",220,2.08
"Directives/Orders",187,1.77
"Reporting for Duty",180,1.71
"Untruthfulness",167,1.58
"Other VIolations",150,1.42
"Abuse of Process",146,1.38
NULL,141,1.34
"Drug Test",94,0.89
"Attendance/Reporting for Duty",93,0.88
"Alcohol Off-duty",81,0.77
"Bias-Free Policing Policy",61,0.58
"Neglect of Duty/Unreasonable Judgment (2 counts)",58,0.55
"Paid Details - Fitness for Duty",52,0.49
"Untruthfulness in Department Report",46,0.44
"Paid Details",42,0.40
"Alcohol on Duty",35,0.33
"Field Interrogation & Observation Reports",31,0.29
"Detail Cards",28,0.27
"Personal Business",27,0.26
"Situations Involving Family & Friends",26,0.25
"Police Service",25,0.24
"Harassment Policy",25,0.24
"Respectful Treatment(2 counts)",24,0.23
"Conformance to Laws(2 counts)",24,0.23
"Respectful Treatment - Bias",23,0.22
"Sick Leave",22,0.21
"Conduct Unbecoming(2 counts)",21,0.20
"Prisoners/Booking Procedures",21,0.20
"Association with Criminals",20,0.19
"Substance Abuse Policy",19,0.18
"Accountability",19,0.18
"Hostile Work Environment",19,0.18
"Criminal Offender Record Information Violation",18,0.17
"Alcohol in Police Facility",18,0.17
"Securing/Maintenance of Firearm",16,0.15
"Courts",16,0.15
"Sleeping On Duty",15,0.14
"Court Testimony",14,0.13
"Investigation - Use of Force",14,0.13
"Handling of Domestic Violence",14,0.13
"Acceptance of Details",14,0.13
"Detail Assignment",13,0.12
"Authorized Details",13,0.12
"Emergency Driving",13,0.12
"Discharge of Firearm",12,0.11
"Residence and Telephone",12,0.11
"Violations of Rules & Procedures",12,0.11
"Court Appearance Forms",12,0.11
"Collection of Evidence",11,0.10
"Pointing Firearms",11,0.10
"Alcohol On Duty",11,0.10
"DMV Accidents Reporting",11,0.10
"Use of Force (2 counts)",10,0.09
"Neglect of Duty/Unreasonable Judgment (3 counts)",10,0.09
"Department Reports - Inaccurate Reporting",10,0.09
"Abuse of Discretion",10,0.09
"Prisoner Inspection",10,0.09
"Leaves of Absence",10,0.09
"Manner of Recording Complaints",10,0.09
"Examination for Physical Injuries",10,0.09
"Violation of Computer Use",10,0.09
"Controlled Substances",9,0.09
"Paid Detail Assignment",9,0.09
"Evidence & Found Property",9,0.09
"Patrol Officer Duties",9,0.09
"Strip Search/Visual Body Cavity Search",9,0.09
"Incapacitating Agent",9,0.09
"Criminal Justice Information Services Access",9,0.09
"Safeguarding non-evidence property",9,0.09
"On duty drug possession/use/manufacture/distribution/sale",9,0.09
"Off-duty employment without permission",9,0.09
"Residency",9,0.09
"Booking Procedures",8,0.08
"Pursuit Driving",7,0.07
"Alcohol In Police Facility",7,0.07
"Failure to return to duty",7,0.07
"Conduct Unbecoming(3 counts)",7,0.07
"Alcohol On Duty (2 counts)",7,0.07
"Unreasonable Judgment",7,0.07
"Discontinuance of Pursuit",7,0.07
"Duty Supervisor",7,0.07
"Criminal Complaints",6,0.06
"Uniforms And Equipment",6,0.06
"Use Of Drugs",6,0.06
"Untruthfulness (2 counts)",6,0.06
"Absence from Duty due to Sickness/Injury",6,0.06
"Prohibited Conduct",6,0.06
"Conformance to Laws(3 counts)",6,0.06
"Directives/Orders (2 counts)",6,0.06
"Prisoners",6,0.06
"Responsibility for people in custody",5,0.05
"Tobacco on duty",5,0.05
"Respectful Treatment(3 counts)",5,0.05
"Protection of Abused Persons",5,0.05
"Untruthfulness (3 counts)",5,0.05
"Alcohol In Police Facility (3 counts)",5,0.05
"Body Worn Camera Policy",5,0.05
"Permissible Weapons & Ammunition",5,0.05
"Moving Vehicles",5,0.05
"Public Integrity Policy - Canons of Ethics",5,0.05
"Canons of Ethics",5,0.05
"Reporting Firearms Dishcarge",4,0.04
"Canon Five",4,0.04
"Confining Control Within Sector",4,0.04
"Situations Involving Off-duty Boston Police Officers",4,0.04
"Failure to be Knowledgeable & Informed",4,0.04
"Improper Statements",4,0.04
"Gifts and Gratuities",4,0.04
"Handcuffs",4,0.04
"Knowingly entering inaccurate, false or improper information",4,0.04
"Officers injured while on duty",4,0.04
"Display of Identification",3,0.03
"Uniform & Equipment-Care & Maintenance",3,0.03
"Reporting Law Violations",3,0.03
"Violation of Rights",3,0.03
"Miscelling Domestic Violence Calls",3,0.03
"Courts(2 counts)",3,0.03
"District Logging",3,0.03
"Return To Duty",3,0.03
"Licensed Premises Inspection/Paid Details",3,0.03
"Valid License to Operate Department Vehicle",3,0.03
"Sick & Injured Persons",3,0.03
"Prisoners - Personal property held as evidence",3,0.03
